sekse,cgebland,lnvgalguz,leeftijd,lftinsz1inclvtt,delcuziv,dichtheid,dum1120,dum21plus,lft2,rec4
0,1,1.098612289,23.46885695,18.91581109,1,0.60013557,0,0,138.76311850000002,1
0,1,1.098612289,54.49129823,26.79028012,7,0.263977157,0,0,370.2801739,0
0,1,2.302585093,61.32511978,33.51129363,1,0.5588828579999999,0,0,679.9831747000002,0
0,1,1.945910149,24.25188227,20.95010555,4,1.181004882,0,0,120.9285216,0
0,1,0.0,19.77275838,19.77275838,7,0.0,0,0,239.5026881,0
0,1,0.0,58.90212183,58.90212183,7,0.0,0,0,559.4875448,0
0,1,0.0,56.09308693,56.09308693,7,0.0,0,0,434.4912690000001,0
0,5,0.0,19.33153893,19.33153893,8,0.0,0,0,253.3538763,0
1,7,0.0,18.90493387,18.90493387,4,0.0,0,0,267.1164939,1
0,1,0.693147181,34.60559105,19.87953457,1,0.252168064,0,0,0.413502662,0
0,1,0.0,20.86592745,20.86592745,6,0.0,0,0,206.8622125,0
0,1,0.0,21.14805993,21.14805993,4,0.0,0,0,198.8261545,0
1,7,0.0,51.43626429,51.43626429,8,0.0,0,0,262.0394142,0
0,1,0.0,43.40107568,15.50718686,6,0.696082987,1,0,66.46232541,0
0,1,0.0,32.70362765,32.70362765,7,0.0,0,0,6.477051065,1
0,1,0.0,33.77686516,14.35816402,4,0.8280374159999999,1,0,2.166099904,0
0,1,0.0,25.10061602,25.10061602,7,0.0,0,0,102.9822441,0
0,1,0.0,31.95893224,18.29431896,6,0.977076821,1,0,10.82212961,0
1,3,0.0,29.07719545,29.07719545,8,0.0,0,0,38.08663868,0
0,1,0.693147181,21.10609172,14.94047725,6,0.373571108,0,0,200.0114675,0
0,1,0.0,38.77299532,18.29974494,4,0.807449043,1,0,12.42113134,0
0,1,0.0,64.26168847,64.26168847,8,0.0,0,0,841.7574007999998,0
0,2,0.0,30.19849418,15.4934976,4,1.4713653880000002,0,1,25.50389979,1
0,7,0.0,33.31452344,14.46313563,4,0.839785905,1,0,3.740778901,1
0,1,1.791759469,43.42922681,19.52635181,4,0.448084847,0,0,66.92211881,1
0,1,0.0,65.55037779,65.55037779,7,0.0,0,0,918.1957508,0
0,1,0.693147181,37.13327135,19.30442169,8,0.23045604600000005,0,0,3.551862571,0
0,1,0.0,54.65023956,14.76669018,7,0.911937683,0,1,376.422346,0
1,1,0.0,55.7230206,55.7230206,5,0.0,0,0,419.200557,0
0,1,2.197224577,33.55763293,22.52306842,7,0.815323207,0,0,2.859480464,1
0,1,0.0,44.42943342,44.42943342,7,0.0,0,0,84.28710046,0
0,1,1.098612289,23.70704997,19.06801648,7,0.595542365,0,0,133.20813370000002,0
0,1,1.098612289,27.48838362,19.47429519,4,0.47103599,0,0,60.22146688,0
0,4,0.0,42.43394935,16.61054073,4,1.125855038,0,1,51.62877431,1
0,1,0.0,23.14031485,23.14031485,7,0.0,0,0,146.6113629,0
0,1,2.079441542,38.77344285,15.90597853,5,0.541559126,0,0,12.42428606,1
1,1,0.0,23.45516769,23.45516769,4,0.0,0,0,139.0858186,0
0,1,2.397895273,36.83778234,21.01106912,7,0.7709040970000001,0,0,2.525396349,1
0,1,0.0,21.83025103,21.83025103,7,0.0,0,0,180.0529685,0
0,6,0.0,30.83706724,30.76540665,5,0.0,0,0,19.46191049,0
0,1,1.609437912,31.45931947,19.40458283,7,0.553536085,0,0,14.35889533,0
0,1,0.0,19.26318003,19.26318003,4,0.0,0,0,255.5346995,1
0,1,0.0,27.32679713,27.32679713,1,0.0,0,0,62.75548001,0
1,1,0.0,38.65786432,38.65786432,4,0.0,0,0,11.62285973,0
1,1,2.197224577,28.24914442,14.15873932,5,0.72810589,0,0,48.99283718,1
0,1,0.0,38.26146475,16.45393921,4,1.220957013,0,1,9.077156522000001,1
1,7,0.0,20.17522245,20.17522245,4,0.0,0,0,227.2076988,0
0,1,0.0,25.87542779,18.84293764,4,1.320197534,1,0,87.85697167,1
0,5,1.386294361,40.08789962,31.99069248,8,0.574257381,0,0,23.4185036,1
1,6,0.0,26.16016427,26.16016427,6,0.0,0,0,82.60025971,0
0,1,0.693147181,42.17385352,32.45448323,7,0.305432582,0,0,47.95868246,1
1,1,0.693147181,43.61494198,43.45788777,8,0.929657862,0,0,69.99512973,0
0,1,0.0,20.35296331,20.35296331,7,0.0,0,0,221.8809687,0
0,1,1.386294361,25.34602907,13.50336135,7,0.483318038,0,0,98.06156009,0
0,1,1.098612289,20.30951663,15.15357179,5,0.5699905270000001,0,0,223.1771911,0
0,1,0.0,25.07947398,25.07947398,8,0.0,0,0,103.4117906,0
0,1,0.0,22.67214237,22.67214237,7,0.0,0,0,158.16811090000004,0
0,1,1.386294361,38.16837782,14.96783025,3,0.35208541200000004,0,0,8.524911159,0
0,1,1.945910149,44.98370374,17.19096509,7,0.456493016,0,0,94.77160664,0
0,6,0.0,23.38124572,23.38124572,4,0.0,0,0,140.8348754,0
0,2,0.693147181,18.12338635,17.73371622,4,0.848289593,0,0,293.2740651000001,1
0,1,0.0,33.27640467,18.07255305,7,0.92951176,1,0,3.889683692,1
0,1,0.0,18.06160164,18.06160164,5,0.0,0,0,295.3940391000001,1
0,1,0.693147181,49.62628337,44.08213552,7,0.390907001,0,0,206.7168366,0
0,6,0.0,32.19961794,32.19961794,7,0.0,0,0,9.296491472,0
0,2,0.0,28.45017381,15.52433382,4,1.562531417,0,1,46.21904428,1
0,1,1.945910149,18.17111567,12.78074052,1,0.968974723,0,0,291.6415903,1
0,3,0.0,29.49486653,29.49486653,2,0.0,0,0,33.10582598,0
0,6,0.0,33.44010951,33.44010951,8,0.0,0,0,3.270756378,0
0,1,1.791759469,44.83847663,18.69986422,7,0.429231102,0,0,91.96510514,1
1,1,0.0,50.19941086,50.19941086,7,0.0,0,0,223.5257653,0
0,1,1.098612289,60.36960986,30.91232039,6,0.256253244,0,0,631.0634896,0
0,1,0.0,27.81930185,27.81930185,8,0.0,0,0,55.19495799,0
0,1,1.098612289,57.23720644,36.71667209,7,0.304851596,0,0,483.497372,0
0,4,2.197224577,47.64681725,20.79359476,6,0.535929014,0,0,153.7149783,0
0,4,0.0,28.46750263,16.38690398,4,1.612224989,0,1,45.98372602,1
0,7,2.397895273,32.31211499,19.52239587,4,0.851573797,0,0,8.623136692000001,1
0,7,0.0,21.25371901,21.25371901,4,0.0,0,0,195.8576113,0
1,1,0.0,20.29867002,20.29867002,5,0.0,0,0,223.5013863,0
0,7,1.791759469,53.47660142,36.68446270000001,7,0.530116014,0,0,332.258841,0
1,1,1.791759469,25.05371486,12.9428062,8,0.617544995,0,0,103.9363513,0
0,7,1.945910149,37.43670146,23.75348154,1,0.639241517,0,0,4.78764458,1
0,1,0.693147181,41.94869686,39.48030652,7,0.536952682,0,0,44.89085876,0
0,5,1.098612289,47.37721858,36.09202804,8,0.403481893,0,0,147.1025936,0
1,6,0.0,18.17385352,18.17385352,6,0.0,0,0,291.54808639999993,0
1,1,0.0,40.49007529,40.49007529,4,0.0,0,0,27.47271967,1
1,3,1.609437912,27.32648871,21.38906935,4,0.75933081,0,0,62.76036661,1
0,6,0.0,28.1009867,27.44162997,6,0.0,0,0,51.08884433,0
0,6,0.0,26.60095825,26.60095825,4,0.0,0,0,74.78227469,0
1,1,0.0,29.36344969,29.36344969,4,0.0,0,0,34.6353799,0
0,1,0.0,23.74811773,23.74811773,7,0.0,0,0,132.2618463,0
0,1,0.0,30.39461822,30.39461822,4,0.0,0,0,23.56145726,0
0,6,0.0,23.25256674,23.25256674,4,0.0,0,0,143.9056004,0
0,1,1.609437912,42.94254081,28.35311168,5,0.506541334,0,0,59.19622095,1
0,1,1.098612289,24.32580424,22.0235407,8,0.778232087,0,0,119.3081831,0
1,1,0.0,21.69562505,21.69562505,4,0.0,0,0,183.6840184,0
0,1,1.386294361,53.19620101,40.678987,7,0.471104261,0,0,322.1152056,0
0,1,1.098612289,54.65399767,36.08487756,7,0.319690218,0,0,376.5681869,0
0,1,0.693147181,21.80796667,21.65417212,7,0.930970153,0,0,180.6515053,1
1,1,0.0,18.2532512,18.2532512,4,0.0,0,0,288.84299489999995,0
0,7,0.0,33.01026694,33.01026694,6,0.0,0,0,5.010281601,0
0,1,0.0,30.66273608,30.66273608,7,0.0,0,0,21.03044851,0
0,6,0.0,28.99931554,28.99931554,4,0.0,0,0,39.05396591,0
0,1,0.693147181,18.60060274,13.4023806,8,0.401667258,0,0,277.156904,0
0,1,0.0,22.83367556,22.83367556,1,0.0,0,0,154.1311625,0
0,6,0.0,46.88569473,46.88569473,4,0.0,0,0,135.421211,0
0,1,0.0,38.21765914,38.21765914,7,0.0,0,0,8.815117553,0
